external_urls/spotify,followers/href,followers/total,genres/0,genres/1,href,id,images/0/height,images/0/url,images/0/width,images/1/height,images/1/url,images/1/width,images/2/height,images/2/url,images/2/width,name,popularity,type,uri,genres/2,genres/3,genres/4,genres/5,genres/6,genres/7,genres/8,images/3/height,images/3/url,images/3/width,genres/9,genres/10
https://open.spotify.com/artist/6tvrEIVX5eKJlipdzt11wi,,98254,k-pop,korean pop,https://api.spotify.com/v1/artists/6tvrEIVX5eKJlipdzt11wi,6tvrEIVX5eKJlipdzt11wi,640,https://i.scdn.co/image/ab67616d0000b27328b63f0c893544f5adc1efcc,640,300,https://i.scdn.co/image/ab67616d00001e0228b63f0c893544f5adc1efcc,300,64,https://i.scdn.co/image/ab67616d0000485128b63f0c893544f5adc1efcc,64,Park Boram,49,artist,spotify:artist:6tvrEIVX5eKJlipdzt11wi,,,,,,,,,,,,
https://open.spotify.com/artist/4ur1jCwyNlhgd0viJkOtcQ,,36256,k-pop,,https://api.spotify.com/v1/artists/4ur1jCwyNlhgd0viJkOtcQ,4ur1jCwyNlhgd0viJkOtcQ,640,https://i.scdn.co/image/ab67616d0000b273849a155d7c0b67638c0a1a8a,640,300,https://i.scdn.co/image/ab67616d00001e02849a155d7c0b67638c0a1a8a,300,64,https://i.scdn.co/image/ab67616d00004851849a155d7c0b67638c0a1a8a,64,YooA,50,artist,spotify:artist:4ur1jCwyNlhgd0viJkOtcQ,,,,,,,,,,,,
https://open.spotify.com/artist/4uU7KfTjcjyKUGWSaTzLu7,,17737,k-indie,korean electropop,https://api.spotify.com/v1/artists/4uU7KfTjcjyKUGWSaTzLu7,4uU7KfTjcjyKUGWSaTzLu7,640,https://i.scdn.co/image/ab67616d0000b273f189e635b51e20a3c380a8d8,640,300,https://i.scdn.co/image/ab67616d00001e02f189e635b51e20a3c380a8d8,300,64,https://i.scdn.co/image/ab67616d00004851f189e635b51e20a3c380a8d8,64,015B,45,artist,spotify:artist:4uU7KfTjcjyKUGWSaTzLu7,korean pop,,,,,,,,,,,
https://open.spotify.com/artist/4YSKGMF40IgP6ouU5jbhnb,,20070,classic malaysian pop,malaysian pop,https://api.spotify.com/v1/artists/4YSKGMF40IgP6ouU5jbhnb,4YSKGMF40IgP6ouU5jbhnb,640,https://i.scdn.co/image/ab67616d0000b27373685b3cae3af6cf28dde56d,640,300,https://i.scdn.co/image/ab67616d00001e0273685b3cae3af6cf28dde56d,300,64,https://i.scdn.co/image/ab67616d0000485173685b3cae3af6cf28dde56d,64,Aishah,41,artist,spotify:artist:4YSKGMF40IgP6ouU5jbhnb,rock kapak,zikir,,,,,,,,,,
https://open.spotify.com/artist/4SzO3ea2qcjg1uLyNJAWnM,,25409,k-indie,korean jazz,https://api.spotify.com/v1/artists/4SzO3ea2qcjg1uLyNJAWnM,4SzO3ea2qcjg1uLyNJAWnM,640,https://i.scdn.co/image/67b0f0989d84384895ad73713cae35107af99459,640,320,https://i.scdn.co/image/339a3147394777855a31718f9960e1c4d851376c,320,160,https://i.scdn.co/image/7c7f232a1eb20ccd7d2800e26e18391e982e0fbd,160,Lee Jin Ah,44,artist,spotify:artist:4SzO3ea2qcjg1uLyNJAWnM,korean pop,korean r&b,,,,,,,,,,
https://open.spotify.com/artist/3offPqpKAKmpQkIdWnjzkc,,307812,k-pop,k-pop boy group,https://api.spotify.com/v1/artists/3offPqpKAKmpQkIdWnjzkc,3offPqpKAKmpQkIdWnjzkc,640,https://i.scdn.co/image/6e5328ec01906264901cb01f54a1d85103011f6b,640,320,https://i.scdn.co/image/639a324f33413cacf2af0b94616afac23bc41780,320,160,https://i.scdn.co/image/711048a90f64191ddaa0a7c61ea24c4191188093,160,TEEN TOP,47,artist,spotify:artist:3offPqpKAKmpQkIdWnjzkc,korean pop,,,,,,,,,,,
https://open.spotify.com/artist/0gdWU9IX6LIiuPvXh95pas,,489087,k-pop,k-pop boy group,https://api.spotify.com/v1/artists/0gdWU9IX6LIiuPvXh95pas,0gdWU9IX6LIiuPvXh95pas,640,https://i.scdn.co/image/fba76f75c12547d3fdb6b668b6433d96272d2bc1,640,320,https://i.scdn.co/image/569a8da829af733d35ef0144662611825bdf2a81,320,160,https://i.scdn.co/image/b65b0c0e35397ea61d0d3857fb09488ba52f843d,160,NU'EST W,47,artist,spotify:artist:0gdWU9IX6LIiuPvXh95pas,,,,,,,,,,,,
https://open.spotify.com/artist/3HJVw8aEtFqoc3raJVE8am,,284730,k-pop boy group,,https://api.spotify.com/v1/artists/3HJVw8aEtFqoc3raJVE8am,3HJVw8aEtFqoc3raJVE8am,640,https://i.scdn.co/image/d23ed46a8a71d064a5d867d668ced676a0ffe504,640,320,https://i.scdn.co/image/341ee6e3845f7dbb6f1ceeddd3343706b4b701dd,320,160,https://i.scdn.co/image/20a3d2a603cc20340ac9e3ef257ffa3999a97c00,160,GD X TAEYANG,50,artist,spotify:artist:3HJVw8aEtFqoc3raJVE8am,,,,,,,,,,,,
https://open.spotify.com/artist/1nTCpd63NkuGGpCIbo4Ywl,,14763,k-pop boy group,korean pop,https://api.spotify.com/v1/artists/1nTCpd63NkuGGpCIbo4Ywl,1nTCpd63NkuGGpCIbo4Ywl,640,https://i.scdn.co/image/ab67616d0000b273a368db7ac39a2220f2e7a8f6,640,300,https://i.scdn.co/image/ab67616d00001e02a368db7ac39a2220f2e7a8f6,300,64,https://i.scdn.co/image/ab67616d00004851a368db7ac39a2220f2e7a8f6,64,god,45,artist,spotify:artist:1nTCpd63NkuGGpCIbo4Ywl,,,,,,,,,,,,
https://open.spotify.com/artist/5UKoKVlU7EDN4UgDuVRAbX,,163090,k-indie,k-pop,https://api.spotify.com/v1/artists/5UKoKVlU7EDN4UgDuVRAbX,5UKoKVlU7EDN4UgDuVRAbX,640,https://i.scdn.co/image/9086da434fa2e2cac0d1def09cee573c6d0a0aed,640,320,https://i.scdn.co/image/86c70d7937cefa447c8ca7d5e67423c6d24c13a7,320,160,https://i.scdn.co/image/b5815e343f680402248245f9d99cf7ea3c35a328,160,Baek A Yeon,50,artist,spotify:artist:5UKoKVlU7EDN4UgDuVRAbX,korean pop,,,,,,,,,,,
